run_id,displayTitle,workflowName,headBranch,conclusion,createdAt,url
17756469887,".github/workflows/docs.yml",".github/workflows/docs.yml","","failure","2025-09-16T06:14:27Z","https://github.com/Yinhang3377/Nova/actions/runs/17756469887"
17756428994,"ci(docs): fix duplicate top-level blocks in workflows to avoid duplic鈥?,".github/workflows/docs.yml","main","failure","2025-09-16T06:12:33Z","https://github.com/Yinhang3377/Nova/actions/runs/17756428994"
17756326611,"Merge pull request #9 from Yinhang3377/chore/cleanup-debug-artifacts",".github/workflows/docs.yml","main","failure","2025-09-16T06:08:02Z","https://github.com/Yinhang3377/Nova/actions/runs/17756326611"
17756326773,"Merge pull request #9 from Yinhang3377/chore/cleanup-debug-artifacts","Docs smoke test","main","failure","2025-09-16T06:08:02Z","https://github.com/Yinhang3377/Nova/actions/runs/17756326773"
17755779374,"chore(docs): remove pageinfo.json",".github/workflows/docs.yml","chore/cleanup-debug-artifacts","failure","2025-09-16T05:39:04Z","https://github.com/Yinhang3377/Nova/actions/runs/17755779374"
17755779472,"chore(docs): remove pageinfo.json","Docs smoke test","chore/cleanup-debug-artifacts","failure","2025-09-16T05:39:04Z","https://github.com/Yinhang3377/Nova/actions/runs/17755779472"
17755778711,"chore(docs): remove poll-pages.log",".github/workflows/docs.yml","chore/cleanup-debug-artifacts","failure","2025-09-16T05:39:03Z","https://github.com/Yinhang3377/Nova/actions/runs/17755778711"
17755778823,"chore(docs): remove poll-pages.log","Docs smoke test","chore/cleanup-debug-artifacts","failure","2025-09-16T05:39:03Z","https://github.com/Yinhang3377/Nova/actions/runs/17755778823"
17755776169,"chore(docs): ignore debug artifacts","Docs smoke test","chore/cleanup-debug-artifacts","failure","2025-09-16T05:38:55Z","https://github.com/Yinhang3377/Nova/actions/runs/17755776169"
17755776088,"chore(docs): ignore debug artifacts",".github/workflows/docs.yml","chore/cleanup-debug-artifacts","failure","2025-09-16T05:38:54Z","https://github.com/Yinhang3377/Nova/actions/runs/17755776088"
17755764398,"Merge pull request #8 from Yinhang3377/docs/add-smoke-test-dispatch","Docs smoke test","main","failure","2025-09-16T05:38:20Z","https://github.com/Yinhang3377/Nova/actions/runs/17755764398"
17755764230,"Merge pull request #8 from Yinhang3377/docs/add-smoke-test-dispatch",".github/workflows/docs.yml","main","failure","2025-09-16T05:38:19Z","https://github.com/Yinhang3377/Nova/actions/runs/17755764230"
17755718050,"Merge pull request #8 from Yinhang3377/docs/add-smoke-test-dispatch",".github/workflows/docs.yml","main","failure","2025-09-16T05:35:50Z","https://github.com/Yinhang3377/Nova/actions/runs/17755718050"
17755717873,"Merge pull request #8 from Yinhang3377/docs/add-smoke-test-dispatch","Docs smoke test","main","failure","2025-09-16T05:35:49Z","https://github.com/Yinhang3377/Nova/actions/runs/17755717873"
17755631134,"ci(docs): add workflow_dispatch to smoke-test (manual run)","Docs smoke test","docs/add-smoke-test-dispatch","failure","2025-09-16T05:31:15Z","https://github.com/Yinhang3377/Nova/actions/runs/17755631134"
17755631229,"ci(docs): add workflow_dispatch to smoke-test (manual run)",".github/workflows/docs.yml","docs/add-smoke-test-dispatch","failure","2025-09-16T05:31:15Z","https://github.com/Yinhang3377/Nova/actions/runs/17755631229"
17755380342,"ci: enable allow_empty_commit for gh-pages deploy (force update)","Docs smoke test","main","failure","2025-09-16T05:17:47Z","https://github.com/Yinhang3377/Nova/actions/runs/17755380342"
17755380254,"ci: enable allow_empty_commit for gh-pages deploy (force update)",".github/workflows/docs.yml","main","failure","2025-09-16T05:17:46Z","https://github.com/Yinhang3377/Nova/actions/runs/17755380254"
17755361121,"ci: enable allow_empty_commit for gh-pages deploy (update via API)",".github/workflows/docs.yml","main","failure","2025-09-16T05:16:44Z","https://github.com/Yinhang3377/Nova/actions/runs/17755361121"
17755361231,"ci: enable allow_empty_commit for gh-pages deploy (update via API)","Docs smoke test","main","failure","2025-09-16T05:16:44Z","https://github.com/Yinhang3377/Nova/actions/runs/17755361231"
17755336333,"Merge pull request #7 from Yinhang3377/docs/add-smoke-test-issue","Docs smoke test","main","failure","2025-09-16T05:15:27Z","https://github.com/Yinhang3377/Nova/actions/runs/17755336333"
17755336617,"Merge pull request #7 from Yinhang3377/docs/add-smoke-test-issue",".github/workflows/docs.yml","main","failure","2025-09-16T05:15:27Z","https://github.com/Yinhang3377/Nova/actions/runs/17755336617"
17755217849,"Merge pull request #7 from Yinhang3377/docs/add-smoke-test-issue",".github/workflows/docs.yml","main","failure","2025-09-16T05:09:04Z","https://github.com/Yinhang3377/Nova/actions/runs/17755217849"
17755217942,"Merge pull request #7 from Yinhang3377/docs/add-smoke-test-issue","Docs smoke test","main","failure","2025-09-16T05:09:04Z","https://github.com/Yinhang3377/Nova/actions/runs/17755217942"
17755182389,"ci(docs): add smoke-test that files an issue on failure",".github/workflows/docs.yml","docs/add-smoke-test-issue","failure","2025-09-16T05:07:09Z","https://github.com/Yinhang3377/Nova/actions/runs/17755182389"
17755182490,"ci(docs): add smoke-test that files an issue on failure","Docs smoke test","docs/add-smoke-test-issue","failure","2025-09-16T05:07:09Z","https://github.com/Yinhang3377/Nova/actions/runs/17755182490"
17755102332,"Merge pull request #6 from Yinhang3377/docs/fix-mkdocs-nav-index",".github/workflows/docs.yml","main","failure","2025-09-16T05:02:51Z","https://github.com/Yinhang3377/Nova/actions/runs/17755102332"
17755102406,"Merge pull request #6 from Yinhang3377/docs/fix-mkdocs-nav-index","Docs smoke test","main","failure","2025-09-16T05:02:51Z","https://github.com/Yinhang3377/Nova/actions/runs/17755102406"
